0
AGUASCALIENTES
BAJA CALIFORNIA
BAJA CALIFORNIA SUR
CAMPECHE
DISTRITO FEDERAL
CHIAPAS
CHIHUAHUA
SONORA
COAHUILA DE ZARAGOZA
COLIMA
MEXICO
MIGUEL HIDALGO
HIDALGO
QUERETARO
GUANAJUATO
JALISCO
YUCATAN
NUEVO LEON
OAXACA
NAYARIT
QUINTANA ROO
DURANGO
LEON
GUERRERO
BOUTIQUE
MEXICALI
MICHOACAN DE OCAMPO
URUAPAN
MORELOS
TEPIC
PUEBLA
TAMAULIPAS
SAN LUIS POTOSI
SINALOA
TABASCO
HUEHUETOCA
TULTITLAN
CUAUTITLAN IZCALLI
TLAXCALA
APIZACO
APETATITLAN DE ANTONIO CARVAJAL
CHIAUTEMPAN
HUAMANTLA
LERMA
METEPEC
VERACRUZ
ZACATECAS
